;municipio;codEstacao;Dia;PrecD
1;ABREU E LIMA;260005402A;1;8,1
2;ABREU E LIMA;260005402A;2;10,83
3;ABREU E LIMA;260005402A;3;25,36
4;ABREU E LIMA;260005402A;4;0,79
5;ABREU E LIMA;260005402A;5;0
6;ABREU E LIMA;260005402A;6;0,99
7;ABREU E LIMA;260005402A;7;0,39
8;ABREU E LIMA;260005402A;8;0
9;ABREU E LIMA;260005402A;9;0
10;ABREU E LIMA;260005402A;10;0
11;ABREU E LIMA;260005402A;11;0
12;ABREU E LIMA;260005402A;12;0
13;ABREU E LIMA;260005402A;13;0
14;ABREU E LIMA;260005402A;14;0
15;ABREU E LIMA;260005402A;15;10,23
16;ABREU E LIMA;260005402A;16;29,78
17;ABREU E LIMA;260005402A;17;31,45
18;ABREU E LIMA;260005402A;18;4,54
19;ABREU E LIMA;260005402A;19;22,68
20;ABREU E LIMA;260005402A;20;10,44
21;ABREU E LIMA;260005402A;21;2,96
22;ABREU E LIMA;260005402A;22;1,78
23;ABREU E LIMA;260005402A;23;0
24;ABREU E LIMA;260005402A;24;26,13
25;ABREU E LIMA;260005402A;25;1,39
26;ABREU E LIMA;260005402A;26;70,66
27;ABREU E LIMA;260005402A;27;19,54
28;ABREU E LIMA;260005402A;28;0
29;ABREU E LIMA;260005402A;29;0,4
30;ABREU E LIMA;260005402A;30;10,25
31;AGRESTINA;260030201A;1;0
32;AGRESTINA;260030201A;2;0
33;AGRESTINA;260030201A;3;0,4
34;AGRESTINA;260030201A;4;0,4
35;AGRESTINA;260030201A;5;0,4
36;AGRESTINA;260030201A;6;1,6
37;AGRESTINA;260030201A;7;0
38;AGRESTINA;260030201A;8;0
39;AGRESTINA;260030201A;9;0
40;AGRESTINA;260030201A;10;0,2
41;AGRESTINA;260030201A;11;0
42;AGRESTINA;260030201A;12;0
43;AGRESTINA;260030201A;13;0
44;AGRESTINA;260030201A;14;0
45;AGRESTINA;260030201A;15;0
46;AGRESTINA;260030201A;16;20,11
47;AGRESTINA;260030201A;17;12,68
48;AGRESTINA;260030201A;18;1,19
49;AGRESTINA;260030201A;19;2,95
50;AGRESTINA;260030201A;20;2,36
51;AGRESTINA;260030201A;21;1,58
52;AGRESTINA;260030201A;22;57,57
53;AGRESTINA;260030201A;23;12,62
54;AGRESTINA;260030201A;24;3,95
55;AGRESTINA;260030201A;25;13,01
56;AGRESTINA;260030201A;26;2,76
57;AGRESTINA;260030201A;27;2,37
58;AGRESTINA;260030201A;28;0,4
59;AGRESTINA;260030201A;29;0,82
60;AGRESTINA;260030201A;30;39,2
61;ALIANÇA;260070801A;1;6,17
62;ALIANÇA;260070801A;2;8,48
63;ALIANÇA;260070801A;3;1,18
64;ALIANÇA;260070801A;4;0
65;ALIANÇA;260070801A;5;0,2
66;ALIANÇA;260070801A;6;0
67;ALIANÇA;260070801A;7;0
68;ALIANÇA;260070801A;8;0
69;ALIANÇA;260070801A;9;0
70;ALIANÇA;260070801A;10;0
71;ALIANÇA;260070801A;11;0
72;ALIANÇA;260070801A;12;0
73;ALIANÇA;260070801A;13;0
74;ALIANÇA;260070801A;14;0
75;ALIANÇA;260070801A;15;0
76;ALIANÇA;260070801A;16;6,56
77;ALIANÇA;260070801A;17;3,16
78;ALIANÇA;260070801A;18;0,59
79;ALIANÇA;260070801A;19;0,2
80;ALIANÇA;260070801A;20;1,19
81;ALIANÇA;260070801A;21;0,2
82;ALIANÇA;260070801A;22;3,95
83;ALIANÇA;260070801A;23;0
84;ALIANÇA;260070801A;24;1,41
85;ALIANÇA;260070801A;25;0,2
86;ALIANÇA;260070801A;26;16,56
87;ALIANÇA;260070801A;27;8,66
88;ALIANÇA;260070801A;28;0
89;ALIANÇA;260070801A;29;0
90;ALIANÇA;260070801A;30;0,2
91;ALTINHO;260080701A;1;0
92;ALTINHO;260080701A;2;0
93;ALTINHO;260080701A;3;0
94;ALTINHO;260080701A;4;0
95;ALTINHO;260080701A;5;0
96;ALTINHO;260080701A;6;0,4
97;ALTINHO;260080701A;7;0
98;ALTINHO;260080701A;8;0
99;ALTINHO;260080701A;9;0
100;ALTINHO;260080701A;10;0
101;ALTINHO;260080701A;11;0
102;ALTINHO;260080701A;12;0
103;ALTINHO;260080701A;13;0
104;ALTINHO;260080701A;14;0
105;ALTINHO;260080701A;15;0
106;ALTINHO;260080701A;16;3,8
107;ALTINHO;260080701A;17;12,8
108;ALTINHO;260080701A;18;65
109;ALTINHO;260080701A;19;13,8
110;ALTINHO;260080701A;20;6,2
111;ALTINHO;260080701A;21;1,4
112;ALTINHO;260080701A;22;59,8
113;ALTINHO;260080701A;23;5,4
114;ALTINHO;260080701A;24;18,2
115;ALTINHO;260080701A;25;15,8
116;ALTINHO;260080701A;26;0,8
117;ALTINHO;260080701A;27;0,6
118;ALTINHO;260080701A;28;0
119;ALTINHO;260080701A;29;2
120;ALTINHO;260080701A;30;34,2
121;ALTINHO;260080701C;1;0,6
122;ALTINHO;260080701C;2;0
123;ALTINHO;260080701C;3;0
124;ALTINHO;260080701C;4;0
125;ALTINHO;260080701C;5;0
126;ALTINHO;260080701C;6;1,6
127;ALTINHO;260080701C;7;0
128;ALTINHO;260080701C;8;0
129;ALTINHO;260080701C;9;0
130;ALTINHO;260080701C;10;0
131;ALTINHO;260080701C;11;0
132;ALTINHO;260080701C;12;0
133;ALTINHO;260080701C;13;0
134;ALTINHO;260080701C;14;0
135;ALTINHO;260080701C;15;0
136;ALTINHO;260080701C;16;8,6
137;ALTINHO;260080701C;17;2,8
138;ALTINHO;260080701C;18;7,6
139;ALTINHO;260080701C;19;4,6
140;ALTINHO;260080701C;20;1,6
141;ALTINHO;260080701C;21;14,2
142;ALTINHO;260080701C;22;57,4
143;ALTINHO;260080701C;23;9,2
144;ALTINHO;260080701C;24;18
145;ALTINHO;260080701C;25;8,2
146;ALTINHO;260080701C;26;0,8
147;ALTINHO;260080701C;27;5
148;ALTINHO;260080701C;28;0,2
149;ALTINHO;260080701C;29;1,4
150;ALTINHO;260080701C;30;27
151;ALTINHO;260080702A;1;0
152;ALTINHO;260080702A;2;0
153;ALTINHO;260080702A;3;0
154;ALTINHO;260080702A;4;0
155;ALTINHO;260080702A;5;0
156;ALTINHO;260080702A;6;0,39
157;ALTINHO;260080702A;7;0
158;ALTINHO;260080702A;8;0
159;ALTINHO;260080702A;9;0
160;ALTINHO;260080702A;10;0
161;ALTINHO;260080702A;11;0
162;ALTINHO;260080702A;12;0
163;ALTINHO;260080702A;13;0
164;ALTINHO;260080702A;14;0
165;ALTINHO;260080702A;15;0
166;ALTINHO;260080702A;16;3,98
167;ALTINHO;260080702A;17;15,47
168;ALTINHO;260080702A;18;72,69
169;ALTINHO;260080702A;19;14,59
170;ALTINHO;260080702A;20;7,31
171;ALTINHO;260080702A;21;1,02
172;ALTINHO;260080702A;22;65,71
173;ALTINHO;260080702A;23;5,52
174;ALTINHO;260080702A;24;19,48
175;ALTINHO;260080702A;25;16,93
176;ALTINHO;260080702A;26;1,2
177;ALTINHO;260080702A;27;0,6
178;ALTINHO;260080702A;28;0
179;ALTINHO;260080702A;29;1,77
180;ALTINHO;260080702A;30;42,91
181;AMARAJI;260090601A;1;2,38
182;AMARAJI;260090601A;2;0,2
183;AMARAJI;260090601A;3;10,65
184;AMARAJI;260090601A;4;0
185;AMARAJI;260090601A;5;0
186;AMARAJI;260090601A;6;1,38
187;AMARAJI;260090601A;7;2,16
188;AMARAJI;260090601A;8;0
189;AMARAJI;260090601A;9;0
190;AMARAJI;260090601A;10;0
191;AMARAJI;260090601A;11;0
192;AMARAJI;260090601A;12;0
193;AMARAJI;260090601A;13;0
194;AMARAJI;260090601A;14;0
195;AMARAJI;260090601A;15;0
196;AMARAJI;260090601A;16;12,9
197;AMARAJI;260090601A;17;9,86
198;AMARAJI;260090601A;18;22,22
199;AMARAJI;260090601A;19;0,2
200;AMARAJI;260090601A;20;15,28
201;AMARAJI;260090601A;21;15,19
202;AMARAJI;260090601A;22;2,4
203;AMARAJI;260090601A;23;0
204;AMARAJI;260090601A;24;34,08
205;AMARAJI;260090601A;25;25,05
206;AMARAJI;260090601A;26;23,03
207;AMARAJI;260090601A;27;10,8
208;AMARAJI;260090601A;28;0,2
209;AMARAJI;260090601A;29;0,4
210;AMARAJI;260090601A;30;34,76
211;ANGELIM;260100301A;1;0,2
212;ANGELIM;260100301A;2;4,14
213;ANGELIM;260100301A;3;0,4
