"","municipio","codEstacao","Dia","PrecD"
"1","Abreu e Lima","260005401A","01",6.121985485
"2","Abreu e Lima","260005401A","02",34.43098754
"3","Abreu e Lima","260005401A","03",15.98452334
"4","Abreu e Lima","260005401A","04",4.93421628
"5","Abreu e Lima","260005401A","05",9.84432917
"6","Abreu e Lima","260005401A","06",11.2960079
"7","Abreu e Lima","260005401A","07",35.073192435
"8","Abreu e Lima","260005401A","08",3.560579845
"9","Abreu e Lima","260005401A","09",0
"10","Abreu e Lima","260005401A","10",0
"11","Abreu e Lima","260005401A","11",0
"12","Abreu e Lima","260005401A","12",7.746992216
"13","Abreu e Lima","260005401A","13",18.684956291
"14","Abreu e Lima","260005401A","14",3.35359298
"15","Abreu e Lima","260005401A","15",1.579684722
"16","Abreu e Lima","260005401A","16",0
"17","Abreu e Lima","260005401A","17",0
"18","Abreu e Lima","260005401A","18",2.572399347
"19","Abreu e Lima","260005401A","19",0.993442911
"20","Abreu e Lima","260005401A","20",3.359908606
"21","Abreu e Lima","260005401A","21",22.252855205
"22","Abreu e Lima","260005401A","22",14.59049442
"23","Abreu e Lima","260005401A","23",0.2
"24","Abreu e Lima","260005401A","24",0
"25","Abreu e Lima","260005401A","25",0
"26","Abreu e Lima","260005401A","26",0
"27","Abreu e Lima","260005401A","27",13.410715339
"28","Abreu e Lima","260005401A","28",40.141697933
"29","Abreu e Lima","260005401A","29",25.980431246
"30","Abreu e Lima","260005401A","30",0
"31","Abreu e Lima","260005401A","31",0.4
"32","Barreiros","260140901A","01",21.073768636
"33","Barreiros","260140901A","02",43.952102891
"34","Barreiros","260140901A","03",8.465878204
"35","Barreiros","260140901A","04",0.79268
"36","Barreiros","260140901A","05",30.93133393
"37","Barreiros","260140901A","06",17.125236911
"38","Barreiros","260140901A","07",19.673843073
"39","Barreiros","260140901A","08",3.153591854
"40","Barreiros","260140901A","09",1.38902
"41","Barreiros","260140901A","10",0
"42","Barreiros","260140901A","11",0.58902
"43","Barreiros","260140901A","12",5.521576092
"44","Barreiros","260140901A","13",17.13153515
"45","Barreiros","260140901A","14",5.336638741
"46","Barreiros","260140901A","15",16.569647859
"47","Barreiros","260140901A","16",1.97438
"48","Barreiros","260140901A","17",2.170370766
"49","Barreiros","260140901A","18",4.738401944
"50","Barreiros","260140901A","19",0.59268
"51","Barreiros","260140901A","20",0
"52","Barreiros","260140901A","21",29.982513167
"53","Barreiros","260140901A","22",28.779551204
"54","Barreiros","260140901A","23",0.982522599
"55","Barreiros","260140901A","24",0
"56","Barreiros","260140901A","25",0
"57","Barreiros","260140901A","26",1.1817
"58","Barreiros","260140901A","27",7.492243147
"59","Barreiros","260140901A","28",26.833990704
"60","Barreiros","260140901A","29",0.2
"61","Barreiros","260140901A","30",0.2
"62","Barreiros","260140901A","31",5.718133176
"63","Camaragibe","260345401A","01",8.069664071
"64","Camaragibe","260345401A","02",15.964977396
"65","Camaragibe","260345401A","03",20.678465435
"66","Camaragibe","260345401A","04",0.2
"67","Camaragibe","260345401A","05",10.858567363
"68","Camaragibe","260345401A","06",7.104363552
"69","Camaragibe","260345401A","07",11.23612753
"70","Camaragibe","260345401A","08",13.783362847
"71","Camaragibe","260345401A","09",0
"72","Camaragibe","260345401A","10",0
"73","Camaragibe","260345401A","11",0
"74","Camaragibe","260345401A","12",5.128117556
"75","Camaragibe","260345401A","13",54.415980075
"76","Camaragibe","260345401A","14",4.936319912
"77","Camaragibe","260345401A","15",5.716484081
"78","Camaragibe","260345401A","16",0.6
"79","Camaragibe","260345401A","17",0.39268
"80","Camaragibe","260345401A","18",0.2
"81","Camaragibe","260345401A","19",3.352596514
"82","Camaragibe","260345401A","20",0.4
"83","Camaragibe","260345401A","21",11.223666613
"84","Camaragibe","260345401A","22",12.600796369
"85","Camaragibe","260345401A","23",0.6
"86","Camaragibe","260345401A","24",0
"87","Camaragibe","260345401A","25",0
"88","Camaragibe","260345401A","26",0.58902
"89","Camaragibe","260345401A","27",7.690486286
"90","Camaragibe","260345401A","28",25.954932321
"91","Camaragibe","260345401A","29",25.412984232
"92","Camaragibe","260345401A","30",0
"93","Camaragibe","260345401A","31",0
