;municipio;codEstacao;Dia;PrecD;Acumulado 3 dias
1;ABREU E LIMA;260005401A;1;10,27;15,79
2;ABREU E LIMA;260005401A;2;5,52;
3;ABREU E LIMA;260005401A;3;0;
4;ABREU E LIMA;260005401A;4;0,4;0,8
5;ABREU E LIMA;260005401A;5;0;
6;ALAGOINHA;260060901U;2;0,4;
7;ALAGOINHA;260060901U;6;0,2;5,6
8;ALTINHO;260080701A;1;4,6;
9;ALTINHO;260080701A;2;0,8;
10;ALTINHO;260080701A;3;0;0
11;ALTINHO;260080701A;4;0;
12;ALTINHO;260080701A;5;0;
13;ALTINHO;260080701A;6;0,2;0,2
14;ALTINHO;260080701A;7;0;
15;ALTINHO;260080701A;8;0;
16;ALTINHO;260080701A;9;0;
17;ALTINHO;260080701A;10;0;
18;ALTINHO;260080701A;11;0;
19;ALTINHO;260080701A;12;0;
20;ALTINHO;260080701A;13;0,6;
21;ALTINHO;260080701A;14;0,2;
22;ALTINHO;260080701A;15;0;
23;ALTINHO;260080701A;16;0;
24;ALTINHO;260080701A;17;0;
25;ALTINHO;260080701A;18;4,6;
26;ALTINHO;260080701A;19;10,8;
27;ALTINHO;260080701A;20;3,8;
28;ALTINHO;260080701A;21;0;
29;ALTINHO;260080701A;22;3,6;
30;ALTINHO;260080701A;23;6;
31;ALTINHO;260080701A;24;0,6;
32;ALTINHO;260080701A;25;1,8;
33;ALTINHO;260080701A;26;3,4;
34;ALTINHO;260080701A;27;0,2;
35;ALTINHO;260080701A;28;3,4;
36;ALTINHO;260080701A;29;0,6;
37;ALTINHO;260080701A;30;0,2;
38;ALTINHO;260080701A;31;0;
39;ARCOVERDE;260120101C;7;0;
40;ARCOVERDE;260120101C;8;0;
41;ARCOVERDE;260120101C;9;0;
42;ARCOVERDE;260120101C;10;0;
43;ARCOVERDE;260120101C;11;0;
44;ARCOVERDE;260120101C;12;0;
45;ARCOVERDE;260120101C;13;0;
46;ARCOVERDE;260120101C;14;0;
47;ARCOVERDE;260120101C;15;0;
48;ARCOVERDE;260120101C;16;0;
49;ARCOVERDE;260120101C;17;0;
50;ARCOVERDE;260120101C;18;0;
51;ARCOVERDE;260120101C;19;0;
52;ARCOVERDE;260120101C;20;0,2;
53;ARCOVERDE;260120101C;21;0;
54;ARCOVERDE;260120101C;22;0;
55;ARCOVERDE;260120101C;23;0;
56;ARCOVERDE;260120101C;24;0;
57;ARCOVERDE;260120101C;28;1;
58;ARCOVERDE;260120101C;31;0;
59;BARRA DE GUABIRABA;260130001A;1;8,92;
60;BARRA DE GUABIRABA;260130001A;2;1,62;
61;BARRA DE GUABIRABA;260130001A;3;0,2;
62;BARRA DE GUABIRABA;260130001A;4;0;
63;BARRA DE GUABIRABA;260130001A;5;0;
64;BARRA DE GUABIRABA;260130001A;6;0;
65;BARRA DE GUABIRABA;260130001A;7;0,82;
66;BARRA DE GUABIRABA;260130001A;8;0,2;
67;BARRA DE GUABIRABA;260130001A;9;0;
68;BARRA DE GUABIRABA;260130001A;10;0;
69;BARRA DE GUABIRABA;260130001A;11;0;
70;BARRA DE GUABIRABA;260130001A;12;0;
71;BARRA DE GUABIRABA;260130001A;13;2,21;
72;BARRA DE GUABIRABA;260130001A;14;0;
73;BARRA DE GUABIRABA;260130001A;15;0;
74;BARRA DE GUABIRABA;260130001A;16;0;
75;BARRA DE GUABIRABA;260130001A;17;1,77;
